"BehaviorSpace results (NetLogo 6.0.2)"
"CapeTownABM.nlogo"
"scenario 1 efficiency"
"04/01/2019 11:55:57:447 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","28","-28","0"
"[run number]","Irrigation-Efficiency","Scenario-1?","water-price-elasticity","share-other-crops-irrigation","water-price","[step]","reduction-this-month","energy-output-this-month","water-price-this-month","ag-allocation-this-month","mu-allocation-this-month","total-allocation-this-month","V-display","population"
"7","1.6","true","-0.3","0.57","5.2","8","0","180","0","406.40999999999997","23664.625","24071.035","921000","3.875"
"8","1.7","true","-0.3","0.57","5.2","5","0","180","0","5374.656498804492","26067.125","31441.781498804492","451725.34301543696","3.875"
"1","1","true","-0.3","0.57","5.2","7","0","180","0","406.40999999999997","23424.375","23830.785","921000","3.875"
"3","1.2","true","-0.3","0.57","5.2","4","0","180","0","11421.549439814398","28481.25","39902.7994398144","495863.77336111356","3.875"
"4","1.3","true","-0.3","0.57","5.2","5","0","180","0","4309.598499085788","26067.125","30376.723499085787","462802.8081882754","3.875"
"6","1.5","true","-0.3","0.57","5.2","8","0","180","0","406.40999999999997","23664.625","24071.035","921000","3.875"
"7","1.6","true","-0.3","0.57","5.2","9","0","180","0","393.29999999999995","23482.5","23875.8","921000","3.875"
"8","1.7","true","-0.3","0.57","5.2","6","0","180","0","393.29999999999995","23482.5","23875.8","627463.780017828","3.875"
"5","1.4","true","-0.3","0.57","5.2","6","0","180","0","393.29999999999995","23482.5","23875.8","637369.4658970346","3.875"
"4","1.3","true","-0.3","0.57","5.2","6","0","180","0","393.29999999999995","23482.5","23875.8","640671.3611901038","3.875"
"1","1","true","-0.3","0.57","5.2","8","0","180","0","406.40999999999997","23664.625","24071.035","921000","3.875"
"3","1.2","true","-0.3","0.57","5.2","5","0","180","0","4043.333999156112","26067.125","30110.45899915611","465572.17448148475","3.875"
"6","1.5","true","-0.3","0.57","5.2","9","0","180","0","393.29999999999995","23482.5","23875.8","921000","3.875"
"7","1.6","true","-0.3","0.57","5.2","10","0","180","0","2109.462765556032","26547.625","28657.087765556033","921000","3.875"
"8","1.7","true","-0.3","0.57","5.2","7","0","180","0","406.40999999999997","23424.375","23830.785","905568.1800178279","3.875"
"5","1.4","true","-0.3","0.57","5.2","7","0","180","0","406.40999999999997","23424.375","23830.785","915473.8658970345","3.875"
"1","1","true","-0.3","0.57","5.2","9","0","180","0","393.29999999999995","23482.5","23875.8","921000","3.875"
"4","1.3","true","-0.3","0.57","5.2","7","0","180","0","406.40999999999997","23424.375","23830.785","918775.7611901037","3.875"
"3","1.2","true","-0.3","0.57","5.2","6","0","180","0","393.29999999999995","23482.5","23875.8","643973.2564831724","3.875"
"7","1.6","true","-0.3","0.57","5.2","11","0","180","0","4160.857278663423","28248.75","32409.607278663425","921000","3.875"
"6","1.5","true","-0.3","0.57","5.2","10","0","180","0","2109.04196770878","26547.625","28656.66696770878","921000","3.875"
"8","1.7","true","-0.3","0.57","5.2","8","0","180","0","406.40999999999997","23664.625","24071.035","921000","3.875"
"5","1.4","true","-0.3","0.57","5.2","8","0","180","0","406.40999999999997","23664.625","24071.035","921000","3.875"
"1","1","true","-0.3","0.57","5.2","10","0","180","0","2106.93797847252","26547.625","28654.56297847252","921000","3.875"
"4","1.3","true","-0.3","0.57","5.2","8","0","180","0","406.40999999999997","23664.625","24071.035","921000","3.875"
"6","1.5","true","-0.3","0.57","5.2","11","0","180","0","4160.50994874696","28248.75","32409.25994874696","921000","3.875"
"8","1.7","true","-0.3","0.57","5.2","9","0","180","0","393.29999999999995","23482.5","23875.8","921000","3.875"
"3","1.2","true","-0.3","0.57","5.2","7","0","180","0","406.40999999999997","23424.375","23830.785","921000","3.875"
"7","1.6","true","-0.3","0.57","5.2","12","0","180","0","13164.322331259358","32193.5","45357.82233125936","921000","3.906"
"5","1.4","true","-0.3","0.57","5.2","9","0","180","0","393.29999999999995","23482.5","23875.8","921000","3.875"
"4","1.3","true","-0.3","0.57","5.2","9","0","180","0","393.29999999999995","23482.5","23875.8","921000","3.875"
