"","run","water.price.elasticity","Irrigation.Efficiency","Scenario.1","Kc","share.other.crops.irrigation","water.price","tick","reduction.this.month","energy.output.this.month","water.price.this.month","ag.allocation.this.month","mu.allocation.this.month","total.allocation.this.month","V.display","population"
"55",1,-0.1,0.7,FALSE,0.2,0.57,5.2,54,0,180,5.2,495.9,24243.0054683443,24738.9054683443,807776.686305221,4.000495951872
"56",1,-0.1,0.7,FALSE,0.2,0.57,5.2,55,0,180,5.2,494.76,24182.9980290662,24677.7580290662,921000,4.000495951872
"57",1,-0.1,0.7,FALSE,0.2,0.57,5.2,56,0,180,5.2,494.76,24431.0287780823,24925.7887780823,921000,4.000495951872
"58",1,-0.1,0.7,FALSE,0.2,0.57,5.2,57,0,180,5.2,495.9,24243.0054683443,24738.9054683443,921000,4.000495951872
"59",1,-0.1,0.7,FALSE,0.2,0.57,5.2,58,0,180,5.2,3771.3211592664,27407.3977662751,31178.7189255415,921000,4.000495951872
"60",1,-0.1,0.7,FALSE,0.2,0.57,5.2,59,0,180,5.2,6512.756364732,29163.6154891469,35676.3718538789,921000,4.000495951872
"61",1,-0.1,0.7,FALSE,0.2,0.57,5.2,60,0,180,5.2,24382.9248063648,33236.1203681526,57619.0451745174,921000,4.03249991948698
"62",1,-0.1,0.7,FALSE,0.2,0.57,5.2,61,0,180,5.2,32244.054549096,34377.0618136265,66621.1163627225,921000,4.03249991948698
"63",1,-0.1,0.7,FALSE,0.2,0.57,5.2,62,0,180,5.2,25664.4395241066,32518.079350743,58182.5188748496,921000,4.03249991948698
"64",1,-0.1,0.7,FALSE,0.2,0.57,5.2,63,0,180,5.2,21211.8657683556,34502.0693111306,55713.9350794862,921000,4.03249991948698
"65",1,-0.1,0.7,FALSE,0.2,0.57,5.2,64,0,180,5.2,11127.8396960186,29638.8744082293,40766.7141042479,864212.558275555,4.03249991948698
"66",1,-0.1,0.7,FALSE,0.2,0.57,5.2,65,0,180,5.2,3461.616940251,27126.6269583889,30588.2438986399,847109.130067059,4.03249991948698
"67",1,-0.1,0.7,FALSE,0.2,0.57,5.2,66,0,180,5.2,461.7,24436.9495120911,24898.6495120911,921000,4.03249991948698
"68",1,-0.1,0.7,FALSE,0.2,0.57,5.2,67,0,180,5.2,459.42,24376.4620132988,24835.8820132988,921000,4.03249991948698
"69",1,-0.1,0.7,FALSE,0.2,0.57,5.2,68,0,180,5.2,459.42,24626.477008307,25085.897008307,921000,4.03249991948698
"70",1,-0.1,0.7,FALSE,0.2,0.57,5.2,69,0,180,5.2,461.7,24436.9495120911,24898.6495120911,921000,4.03249991948698
"71",1,-0.1,0.7,FALSE,0.2,0.57,5.2,70,0,180,5.2,4935.3860998632,27626.6569484053,32562.0430482685,921000,4.03249991948698
"72",1,-0.1,0.7,FALSE,0.2,0.57,5.2,71,0,180,5.2,11491.451310794,29396.9244130601,40888.3757238541,921000,4.03249991948698
"73",1,-0.1,0.7,FALSE,0.2,0.57,5.2,72,0,180,5.2,28340.2587174936,33502.0093310978,61842.2680485914,921000,4.06475991884287
"74",1,-0.1,0.7,FALSE,0.2,0.57,5.2,73,0,180,5.2,36750.675268472,34652.0783081355,71402.7535766075,921000,4.06475991884287
"75",1,-0.1,0.7,FALSE,0.2,0.57,5.2,74,0,180,5.2,29490.6660901272,32778.2239855489,62268.8900756761,895406.60538356,4.06475991884287
"76",1,-0.1,0.7,FALSE,0.2,0.57,5.2,75,0,180,5.2,24708.883458322,34778.0858656196,59486.9693239416,767029.825232208,4.06475991884287
"77",1,-0.1,0.7,FALSE,0.2,0.57,5.2,76,0,180,5.2,12978.866175907,29875.9854034951,42854.8515794021,618441.886584325,4.06475991884287
"78",1,-0.1,0.7,FALSE,0.2,0.57,5.2,77,0.129967512236526,180,11.9583106362993,3677.25413861397,23789.8551111367,27467.1092497507,508248.18342552,4.06475991884287
"79",1,-0.1,0.7,FALSE,0.2,0.57,5.2,78,0.290890918697996,180,20.3263277722958,400.150254578721,17467.0905208891,17867.2407754678,498249.964926019,4.06475991884287
"80",1,-0.1,0.7,FALSE,0.2,0.57,5.2,79,0.201722196130646,180,15.6895541987936,451.378201419887,19614.8620705775,20066.2402719974,635618.483375083,4.06475991884287
"81",1,-0.1,0.7,FALSE,0.2,0.57,5.2,80,0,180,5.2,565.44,24823.4888243734,25388.9288243734,828151.002831089,4.06475991884287
"82",1,-0.1,0.7,FALSE,0.2,0.57,5.2,81,0,180,5.2,564.3,24632.4451081878,25196.7451081878,921000,4.06475991884287
