9	-22	2.7385	2.7511	3.3194	2.8313	2.5251	2.2519	2.4075	2.0863	1.735	2.018	1.9657	2.2666	2.6481	2.7761	3.1312	2.7546	2.4747	2.2815	2.1734	2.1395	2.0261	2.1098	2.0297	2.2691	2.6724	2.7772	3.351	2.5734	2.5308	2.0789	2.3596	2.0671	1.9598	2.0226	2.0106	2.3786	3.0469	2.772	3.317	2.7484	2.4407	2.0199	1.988	1.6347	1.9071	1.928	2.1077	2.7322	2.7337	2.7696	3.2042	2.7448	2.7106	2.1162	2.1879	1.8142	1.6434	2.0783	2.2533	2.5471	2.9444	2.813	2.7569	3.1271	2.4722	1.9524	1.8471	2.0887	1.9792	2.0851	2.0885	2.3287	2.7331	2.5206	2.9352	2.5866	2.5711	1.8679	1.645	1.9079	2.0844	2.5179	2.2742	2.9881	3.0915	2.8791	2.8789	2.812	2.684	2.129	2.0442	2.1945	1.9625	2.2392	2.2646	2.7381	2.6024	2.6198	3.1611	3.1911	2.9686	2.134	2.1022	1.9487	2.0574	2.0303	2.1263	2.4863	2.9065	2.8696	2.7825	2.5621	2.6544	2.0374	2.3977	1.5159	1.6191	2.283	2.4088	2.8531
9	-18	3.1002	3.3257	3.6029	2.9708	2.3227	1.972	1.9119	1.8167	1.7788	2.4687	2.5108	2.7386	3.2844	3.267	3.6631	2.7009	2.289	1.7714	1.5942	1.7904	1.9112	2.1657	2.3784	3.1458	3.3505	3.542	3.649	2.7515	2.4523	1.7731	1.8361	1.6519	1.7759	2.1871	2.1717	2.6623	3.6186	3.1205	3.5832	2.799	2.069	1.7643	1.658	1.4649	1.7022	2.2033	2.4132	3.3376	3.2649	3.1446	3.6114	2.551	2.4402	1.7137	1.8987	1.6636	1.55	2.2484	2.5513	3.2049	3.389	3.4536	3.0253	3.1621	2.3035	1.6591	1.5532	1.9707	1.9226	2.6598	2.5224	2.9553	3.4034	2.8667	3.5803	2.8098	2.5027	1.5275	1.4918	1.8531	2.0687	2.5039	2.4954	3.2072	3.8752	3.2366	3.2866	2.8093	2.3018	1.6574	1.5982	1.944	1.8288	2.3274	2.6926	3.0062	3.1934	3.2836	3.4376	3.3485	2.544	1.6317	1.5963	1.7222	2.0322	2.1009	2.4099	2.9544	3.4229	3.1907	3.1799	2.7943	2.5703	1.9163	2.0354	1.4446	1.6418	2.9378	2.4597	2.9372
10	-18	3.0001	3.3099	3.6104	2.9979	2.4238	2.0634	2.0549	1.878	1.8599	2.4645	2.5102	2.766	3.2271	3.2399	3.6254	2.7589	2.3091	1.8831	1.7005	1.9261	1.9981	2.2597	2.4543	3.1945	3.3802	3.5234	3.678	2.846	2.5402	1.8436	1.8584	1.7422	1.843	2.1921	2.1792	2.7027	3.6385	3.1361	3.6306	2.7811	2.1525	1.7683	1.6854	1.4679	1.7503	2.2103	2.4225	3.3017	3.2505	3.1307	3.6237	2.6334	2.467	1.7095	1.9455	1.7294	1.5256	2.3216	2.5803	3.2171	3.4302	3.4689	3.058	3.2267	2.3532	1.6746	1.6149	1.9891	1.9645	2.6877	2.525	2.937	3.3764	2.9102	3.6361	2.8444	2.5867	1.6798	1.5731	1.9439	2.0896	2.5864	2.4801	3.2324	3.8659	3.2493	3.2941	2.8682	2.4088	1.7219	1.662	1.9632	1.8469	2.3768	2.6478	3.0153	3.1311	3.2495	3.4861	3.3963	2.6124	1.6616	1.6026	1.7527	2.0887	2.1335	2.398	2.9446	3.3626	3.1856	3.2306	2.8133	2.5882	1.9559	2.0768	1.4784	1.6541	2.93	2.4287	2.9569
19	-7	2.7859	3.0453	3.2881	2.7976	1.6264	1.2539	1.2811	1.4447	1.5459	2.2099	2.2129	2.5454	3.2434	2.9251	3.5559	2.3996	1.8906	1.1004	1.3538	1.5392	1.6565	1.8435	2.1093	2.8268	3.5074	3.536	3.3419	2.3164	1.7675	1.1351	1.1188	1.3229	1.651	1.8974	1.8278	2.3837	3.3951	2.837	3.2962	2.2758	1.5698	1.1814	0.9851	0.8808	1.4756	1.9443	2.4232	3.2653	3.1828	2.9586	3.291	2.1853	1.8479	1.1239	1.2312	1.0522	1.2102	2.0713	2.3204	3.0154	3.1338	3.1735	2.7046	2.4087	1.8533	1.089	1.0328	1.4411	1.7484	2.4328	2.3188	2.8547	3.1474	2.5423	3.3971	2.3122	1.8777	1.1901	0.9171	1.7039	1.6659	2.475	2.0948	2.8694	3.8174	2.9946	2.7262	2.358	2.0905	1.1662	1.0107	1.6553	1.4212	1.8492	2.3784	2.7657	3.0786	3.1184	3.1413	2.773	2.0435	1.1683	1.1525	1.1538	1.7474	1.7689	2.173	2.825	3.3257	3.0503	2.8505	2.5602	1.8661	1.2833	1.5073	0.9535	1.2244	2.6161	2.1998	2.4282
12	-13	3.0792	3.4474	3.7579	3.2021	2.2391	1.731	1.6728	1.5227	1.4214	2.2352	2.4396	2.7528	3.3388	3.2412	3.9726	2.6429	2.1351	1.5922	1.3784	1.6582	1.715	2.0965	2.3492	3.2517	3.7059	3.9372	3.8507	2.7673	2.104	1.4009	1.6381	1.6019	1.7754	2.3409	2.2742	2.9894	4.1366	3.4083	4.0791	2.9749	1.9904	1.5682	1.3961	1.1831	1.5475	2.1936	2.6399	3.8801	3.605	3.584	3.9582	2.733	2.3901	1.543	1.6473	1.4757	1.4201	2.2602	2.7288	3.4545	3.7775	3.9086	3.2909	3.279	2.3162	1.4932	1.4337	1.8246	1.8367	2.7269	2.8229	3.13	3.7928	3.0148	4.0644	2.9493	2.4796	1.5163	1.2179	1.6543	1.9264	2.7904	2.5706	3.4331	4.8067	3.6139	3.3954	2.9519	2.4758	1.4857	1.404	1.7183	1.6235	2.1914	2.8323	3.2494	3.556	3.6534	3.8982	3.6393	2.5975	1.472	1.3469	1.3856	1.8802	2.0496	2.6214	3.3488	3.8583	3.4872	3.4287	3.1443	2.5257	1.7208	1.8836	1.2321	1.473	2.9693	2.5816	2.9486
9	-18	3.2463	3.6274	3.8051	3.2936	2.3761	2.1484	2.1949	1.8818	1.6607	2.4016	2.3111	2.5621	3.1081	3.0455	3.8334	2.8834	2.3705	2.1188	2.0315	2.0825	2.0755	2.194	2.2526	2.9725	3.4873	3.6665	3.7601	3.0163	2.467	1.9467	2.3409	1.99	1.8483	2.0852	2.0605	2.5106	3.6247	3.0413	3.7006	3.036	2.2493	1.9548	1.7705	1.5007	1.7859	2.0633	2.3284	3.3389	3.2485	3.0264	3.4399	2.8805	2.6622	1.9251	2.0443	1.702	1.5221	2.1506	2.5061	3.1626	3.2312	3.3005	2.8518	3.5023	2.4016	1.788	1.8017	2.1103	2.0296	2.7624	2.569	2.7528	3.1731	2.8522	3.5944	3.0475	2.562	1.8334	1.6525	2.0265	2.0699	2.4329	2.3834	3.0623	3.9138	3.1209	3.0239	2.8887	2.654	1.8252	1.8141	2.1525	1.808	2.4691	2.6955	3.0718	3.2319	3.3953	3.6895	3.893	2.9838	1.8525	1.8926	1.9239	2.1298	2.1561	2.3722	2.9783	3.4659	3.4245	3.2103	3.0074	2.8257	2.1434	2.5672	1.5836	1.7211	3.1378	2.5473	2.7641
14	-15	3.616	4.0699	4.3163	3.4973	2.0049	1.5623	1.4526	1.4025	1.7826	3.3736	3.3502	3.9431	4.959	4.5688	5.7631	3.4742	2.028	1.3922	1.2651	1.6053	1.7549	2.1958	2.6021	3.6357	4.4787	4.7184	4.3254	3.1872	2.2113	1.5135	1.6669	1.5375	1.7472	2.2424	2.2657	3.0637	4.5816	3.5438	4.276	2.9222	1.8922	1.521	1.3053	1.12	1.5932	2.2881	2.8382	4.2347	3.9913	3.7834	4.2068	2.8947	2.357	1.4108	1.6527	1.3268	1.2833	2.4196	2.8669	3.918	3.9063	4.1471	3.5455	3.4317	2.2152	1.3336	1.2964	1.803	1.8683	2.9691	3.0411	3.4618	4.1297	3.4102	4.3369	3.1988	2.4333	1.45	1.2571	1.7613	2.0032	2.969	3.047	3.6633	5.1599	3.9699	3.7311	3.0625	2.5693	1.475	1.3679	1.8947	1.7415	2.4709	3.1108	3.6483	3.93	4.2108	4.2282	3.8967	2.6865	1.3669	1.3516	1.5983	2.0607	2.1429	2.715	3.5094	4.3049	3.983	3.7086	3.3246	2.4083	1.6479	1.836	1.2447	1.4946	3.0527	2.9515	3.2786
14	-7	3.6239	4.0935	4.3882	3.5677	2.1721	1.6283	1.5677	1.3579	1.4343	2.4544	2.612	3.1834	3.9659	3.6411	4.429	3.0067	2.2975	1.4793	1.3315	1.5481	1.7295	2.1368	2.5957	3.6811	4.4812	4.6594	4.3574	3.2534	2.2125	1.4329	1.352	1.2846	1.5511	2.1356	2.2519	3.0243	4.3878	3.6046	4.1118	2.9146	1.9119	1.3435	1.1408	1.0086	1.4005	2.1923	2.9202	4.03	3.9812	3.6599	4.1088	2.8218	2.3883	1.4251	1.4786	1.2369	1.2371	2.1149	2.787	3.8781	3.8377	4.1249	3.5084	3.2438	2.1452	1.3772	1.2757	1.6043	1.6724	2.6961	2.8734	3.4987	4.0889	3.3182	4.2111	3.2428	2.3105	1.4651	1.1293	1.4443	1.7621	2.6952	2.6371	3.7063	5.0469	3.8692	3.5167	3.0568	2.5654	1.4316	1.2634	1.5464	1.4663	2.1942	2.9062	3.544	3.9104	3.9157	4.0576	3.6618	2.5529	1.4579	1.2055	1.2053	1.7288	1.9203	2.5867	3.4274	4.1653	3.7452	3.4286	2.9933	2.3825	1.6252	1.6604	1.0552	1.3302	2.9692	2.6565	3.1626
8	-16	2.7789	2.8944	3.2294	2.742	2.4137	2.2972	2.1578	2.0002	1.9942	2.4682	2.505	2.584	2.913	2.8535	3.3566	2.5771	2.2297	2.0419	1.8833	2.0316	2.0917	2.3198	2.3378	2.8111	3.094	3.1029	3.3067	2.7469	2.4004	2.0268	2.0706	1.9188	1.9383	2.1639	2.1904	2.4658	3.2754	2.7496	3.262	2.7148	2.0634	1.8594	1.8262	1.6439	1.8738	2.2089	2.251	3.0425	2.969	2.8125	3.1701	2.5201	2.4709	1.9204	2.1665	1.7934	1.6885	2.1304	2.5092	2.8426	2.997	2.9847	2.7553	2.992	2.3353	1.8896	1.9054	2.2077	1.9283	2.3698	2.4095	2.8925	3.1308	2.8687	3.2312	2.6161	2.4285	1.8277	1.6973	1.9421	2.1252	2.379	2.3493	2.9237	3.6242	2.9278	2.8784	2.7561	2.3752	1.9499	1.8662	2.041	1.9618	2.2386	2.3999	2.7377	2.7902	2.8294	3.1027	3.2738	2.555	1.7472	1.908	1.982	2.0916	2.2019	2.3153	2.739	3.0834	2.9446	2.9125	2.647	2.5076	2.2515	2.5249	2.0314	1.7941	2.8194	2.358	2.6271
8	-20	2.6513	2.5976	2.8463	2.7369	2.6233	2.4533	2.4522	2.2034	1.8815	2.0758	1.977	2.1493	2.5663	2.6959	3.1165	2.4771	2.482	2.2618	1.9753	2.0708	2.101	2.1841	2.1408	2.7709	2.6679	2.8166	2.8645	2.5477	2.5323	2.1833	2.3888	2.0948	1.9398	2.1571	2.0723	2.2901	2.7975	2.4747	2.8567	2.7484	2.3162	2.2571	2.0238	1.7365	1.9818	2.2204	2.0885	2.7461	2.6389	2.5416	3.0667	2.5333	2.5419	2.2414	2.3164	2.0025	1.8566	2.1885	2.2729	2.6588	2.5725	2.6597	2.6207	2.9295	2.5586	2.1498	2.092	2.3958	2.072	2.6121	2.3815	2.3673	2.6315	2.601	3.0315	2.5803	2.5114	2.0366	1.9551	2.0746	2.1732	2.2535	2.2679	2.4938	3.0942	2.6337	2.6781	2.6146	2.4917	2.1428	2.1374	2.1548	1.9046	2.2376	2.2542	2.4144	2.4669	2.551	2.8409	3.0525	2.6668	2.0029	2.2001	2.0905	2.0726	2.1328	2.2617	2.4657	2.6932	2.5033	2.7541	2.6093	2.7607	2.3382	2.6673	1.8716	1.8482	2.4687	2.3403	2.5743
