"BehaviorSpace results (NetLogo 6.0.2)"
"CapeTownABM.nlogo"
"scenario 2 price elasticity"
"04/02/2019 18:05:56:204 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","28","-28","0"
"[run number]","water-price-elasticity","Irrigation-Efficiency","Scenario-1?","Kc","share-other-crops-irrigation","water-price","[step]","reduction-this-month","energy-output-this-month","water-price-this-month","ag-allocation-this-month","mu-allocation-this-month","total-allocation-this-month","V-display","population"
"5","-0.51","0.7","false","0.2","0.57","5.2","13","0","180","5.2","30147.950242684994","33298.65","63446.600242684995","884288.8932307966","3.906"
"8","-0.8","0.7","false","0.2","0.57","5.2","8","0","180","5.2","406.40999999999997","23664.625","24071.035","921000","3.875"
"1","-0.1","0.7","false","0.2","0.57","5.2","13","0","180","5.2","30147.950242684994","33298.65","63446.600242684995","884288.8932307966","3.906"
"4","-0.4","0.7","false","0.2","0.57","5.2","13","0","180","5.2","30147.950242684994","33298.65","63446.600242684995","884288.8932307966","3.906"
"6","-0.6","0.7","false","0.2","0.57","5.2","13","0","180","5.2","30147.950242684994","33298.65","63446.600242684995","884288.8932307966","3.906"
"8","-0.8","0.7","false","0.2","0.57","5.2","9","0","180","5.2","393.29999999999995","23482.5","23875.8","921000","3.875"
"5","-0.51","0.7","false","0.2","0.57","5.2","14","0","180","5.2","23570.607563991594","31497.984","55068.59156399159","731979.6927454267","3.906"
"1","-0.1","0.7","false","0.2","0.57","5.2","14","0","180","5.2","23570.607563991594","31497.984","55068.59156399159","731979.6927454267","3.906"
"4","-0.4","0.7","false","0.2","0.57","5.2","14","0","180","5.2","23570.607563991594","31497.984","55068.59156399159","731979.6927454267","3.906"
"8","-0.8","0.7","false","0.2","0.57","5.2","10","0","180","5.2","4164.6394515348","26547.625","30712.2644515348","921000","3.875"
"6","-0.6","0.7","false","0.2","0.57","5.2","14","0","180","5.2","23570.607563991594","31497.984","55068.59156399159","731979.6927454267","3.906"
"8","-0.8","0.7","false","0.2","0.57","5.2","11","0","180","5.2","7559.133181347199","28248.75","35807.8831813472","921000","3.875"
"5","-0.51","0.7","false","0.2","0.57","5.2","15","0","180","5.2","19328.750498545196","33419.736000000004","52748.4864985452","616631.5096174434","3.906"
"1","-0.1","0.7","false","0.2","0.57","5.2","15","0","180","5.2","19328.750498545196","33419.736000000004","52748.4864985452","616631.5096174434","3.906"
"4","-0.4","0.7","false","0.2","0.57","5.2","15","0","180","5.2","19328.750498545196","33419.736000000004","52748.4864985452","616631.5096174434","3.906"
"6","-0.6","0.7","false","0.2","0.57","5.2","15","0","180","5.2","19328.750498545196","33419.736000000004","52748.4864985452","616631.5096174434","3.906"
"8","-0.8","0.7","false","0.2","0.57","5.2","12","0","180","5.2","21875.900839019996","32193.5","54069.400839019996","921000","3.906"
"5","-0.51","0.7","false","0.2","0.57","5.2","16","0","180","5.2","10121.2724933596","28709.100000000002","38830.3724933596","558791.5366203531","3.906"
"1","-0.1","0.7","false","0.2","0.57","5.2","16","0","180","5.2","10121.2724933596","28709.100000000002","38830.3724933596","558791.5366203531","3.906"
"4","-0.4","0.7","false","0.2","0.57","5.2","16","0","180","5.2","10121.2724933596","28709.100000000002","38830.3724933596","558791.5366203531","3.906"
"6","-0.6","0.7","false","0.2","0.57","5.2","16","0","180","5.2","10121.2724933596","28709.100000000002","38830.3724933596","558791.5366203531","3.906"
"8","-0.8","0.7","false","0.2","0.57","5.2","13","0","180","5.2","30147.950242684994","33298.65","63446.600242684995","884288.8932307966","3.906"
"1","-0.1","0.7","false","0.2","0.57","5.2","17","0","180","5.2","2598.6149490023995","26275.662","28874.2769490024","574779.7916336339","3.906"
"5","-0.51","0.7","false","0.2","0.57","5.2","17","0","180","5.2","2598.6149490023995","26275.662","28874.2769490024","574779.7916336339","3.906"
"4","-0.4","0.7","false","0.2","0.57","5.2","17","0","180","5.2","2598.6149490023995","26275.662","28874.2769490024","574779.7916336339","3.906"
"6","-0.6","0.7","false","0.2","0.57","5.2","17","0","180","5.2","2598.6149490023995","26275.662","28874.2769490024","574779.7916336339","3.906"
"8","-0.8","0.7","false","0.2","0.57","5.2","14","0","180","5.2","23570.607563991594","31497.984","55068.59156399159","731979.6927454267","3.906"
"5","-0.51","0.7","false","0.2","0.57","5.2","18","0","180","5.2","393.29999999999995","23670.36","24063.66","680806.2377356291","3.906"
"1","-0.1","0.7","false","0.2","0.57","5.2","18","0","180","5.2","393.29999999999995","23670.36","24063.66","680806.2377356291","3.906"
"4","-0.4","0.7","false","0.2","0.57","5.2","18","0","180","5.2","393.29999999999995","23670.36","24063.66","680806.2377356291","3.906"
"6","-0.6","0.7","false","0.2","0.57","5.2","18","0","180","5.2","393.29999999999995","23670.36","24063.66","680806.2377356291","3.906"
"5","-0.51","0.7","false","0.2","0.57","5.2","19","0","180","5.2","388.73999999999995","23611.77","24000.510000000002","804263.917735629","3.906"
"8","-0.8","0.7","false","0.2","0.57","5.2","15","0","180","5.2","19328.750498545196","33419.736000000004","52748.4864985452","616631.5096174434","3.906"
"1","-0.1","0.7","false","0.2","0.57","5.2","19","0","180","5.2","388.73999999999995","23611.77","24000.510000000002","804263.917735629","3.906"
"4","-0.4","0.7","false","0.2","0.57","5.2","19","0","180","5.2","388.73999999999995","23611.77","24000.510000000002","804263.917735629","3.906"
"6","-0.6","0.7","false","0.2","0.57","5.2","19","0","180","5.2","388.73999999999995","23611.77","24000.510000000002","804263.917735629","3.906"
"8","-0.8","0.7","false","0.2","0.57","5.2","16","0","180","5.2","10121.2724933596","28709.100000000002","38830.3724933596","558791.5366203531","3.906"
"5","-0.51","0.7","false","0.2","0.57","5.2","20","0","180","5.2","388.73999999999995","23853.942","24242.682","870222.897735629","3.906"
"1","-0.1","0.7","false","0.2","0.57","5.2","20","0","180","5.2","388.73999999999995","23853.942","24242.682","870222.897735629","3.906"
"4","-0.4","0.7","false","0.2","0.57","5.2","20","0","180","5.2","388.73999999999995","23853.942","24242.682","870222.897735629","3.906"
"1","-0.1","0.7","false","0.2","0.57","5.2","21","0","180","5.2","393.29999999999995","23670.36","24063.66","912870.5337356289","3.906"
"5","-0.51","0.7","false","0.2","0.57","5.2","21","0","180","5.2","393.29999999999995","23670.36","24063.66","912870.5337356289","3.906"
"8","-0.8","0.7","false","0.2","0.57","5.2","17","0","180","5.2","2598.6149490023995","26275.662","28874.2769490024","574779.7916336339","3.906"
"4","-0.4","0.7","false","0.2","0.57","5.2","21","0","180","5.2","393.29999999999995","23670.36","24063.66","912870.5337356289","3.906"
"1","-0.1","0.7","false","0.2","0.57","5.2","22","0","180","5.2","4378.709253966999","26760.006","31138.715253967","921000","3.906"
"8","-0.8","0.7","false","0.2","0.57","5.2","18","0","180","5.2","393.29999999999995","23670.36","24063.66","680806.2377356291","3.906"
"4","-0.4","0.7","false","0.2","0.57","5.2","22","0","180","5.2","4378.709253966999","26760.006","31138.715253967","921000","3.906"
"5","-0.51","0.7","false","0.2","0.57","5.2","22","0","180","5.2","4378.709253966999","26760.006","31138.715253967","921000","3.906"
"8","-0.8","0.7","false","0.2","0.57","5.2","19","0","180","5.2","388.73999999999995","23611.77","24000.510000000002","804263.917735629","3.906"
"1","-0.1","0.7","false","0.2","0.57","5.2","23","0","180","5.2","11227.666769201998","28474.74","39702.406769202","921000","3.906"
"5","-0.51","0.7","false","0.2","0.57","5.2","23","0","180","5.2","11227.666769201998","28474.74","39702.406769202","921000","3.906"
"4","-0.4","0.7","false","0.2","0.57","5.2","23","0","180","5.2","11227.666769201998","28474.74","39702.406769202","921000","3.906"
"8","-0.8","0.7","false","0.2","0.57","5.2","20","0","180","5.2","388.73999999999995","23853.942","24242.682","870222.897735629","3.906"
"1","-0.1","0.7","false","0.2","0.57","5.2","24","0","180","5.2","28169.8637844032","32451.048000000003","60620.9117844032","883864.969689291","3.9372480000000003"
"5","-0.51","0.7","false","0.2","0.57","5.2","24","0","180","5.2","28169.8637844032","32451.048000000003","60620.9117844032","883864.969689291","3.9372480000000003"
"4","-0.4","0.7","false","0.2","0.57","5.2","24","0","180","5.2","28169.8637844032","32451.048000000003","60620.9117844032","883864.969689291","3.9372480000000003"
