"","run","Irrigation.Efficiency","Scenario.1","water.price.elasticity","share.other.crops.irrigation","water.price","Kc","tick","reduction.this.month","energy.output.this.month","water.price.this.month","ag.allocation.this.month","mu.allocation.this.month","total.allocation.this.month","V.display","population"
"40",1,0.7,TRUE,-0.3,0.57,5.2,0.2,39,0.2,180,0,16883.5823240544,27165.2725112832,44048.8548353376,441666.349484975,3.968745984
"41",1,0.7,TRUE,-0.3,0.57,5.2,0.2,40,0.3,180,0,7732.53868931824,20419.19808768,28151.7367769982,371439.639814299,3.968745984
"42",1,0.7,TRUE,-0.3,0.57,5.2,0.2,41,0.3,180,0,2790.62150486532,18688.4279640576,21479.0494689229,372385.166260303,3.968745984
"43",1,0.7,TRUE,-0.3,0.57,5.2,0.2,42,0.2,180,0,355.68,19240.480530432,19596.160530432,424757.067322457,3.968745984
"44",1,0.7,TRUE,-0.3,0.57,5.2,0.2,43,0,180,0,441.75,23991.06947328,24432.81947328,626096.746261593,3.968745984
"45",1,0.7,TRUE,-0.3,0.57,5.2,0.2,44,0,180,0,441.75,24237.131724288,24678.881724288,921000,3.968745984
"46",1,0.7,TRUE,-0.3,0.57,5.2,0.2,45,0,180,0,444.6,24050.60066304,24495.20066304,921000,3.968745984
"47",1,0.7,TRUE,-0.3,0.57,5.2,0.2,46,0,180,0,3856.9074943234,27189.878736384,31046.7862307074,921000,3.968745984
"48",1,0.7,TRUE,-0.3,0.57,5.2,0.2,47,0,180,0,10294.1048044988,28932.15822336,39226.2630278588,921000,3.968745984
"49",1,0.7,TRUE,-0.3,0.57,5.2,0.2,48,0,180,0,26208.6481789296,32972.341635072,59180.9898140016,921000,4.000495951872
"50",1,0.7,TRUE,-0.3,0.57,5.2,0.2,49,0,180,0,34000.952806888,34104.2279897088,68105.1807965968,921000,4.000495951872
"51",1,0.7,TRUE,-0.3,0.57,5.2,0.2,50,0,180,0,26899.5345758916,32259.9993558958,59159.5339317874,863647.502802048,4.000495951872
"52",1,0.7,TRUE,-0.3,0.57,5.2,0.2,51,0,180,0,22354.3274210368,34228.2433642168,56582.5707852536,739873.434938473,4.000495951872
"53",1,0.7,TRUE,-0.3,0.57,5.2,0.2,52,0,180,0,11728.5627146612,29403.6452462592,41132.2079609204,654498.293367966,4.000495951872
"54",1,0.7,TRUE,-0.3,0.57,5.2,0.2,53,0,180,0,4033.7619111824,26911.3362682429,30945.0981794253,633120.877446125,4.000495951872
"55",1,0.7,TRUE,-0.3,0.57,5.2,0.2,54,0,180,0,495.9,24243.0054683443,24738.9054683443,754280.681087275,4.000495951872
"56",1,0.7,TRUE,-0.3,0.57,5.2,0.2,55,0,180,0,494.76,24182.9980290662,24677.7580290662,921000,4.000495951872
"57",1,0.7,TRUE,-0.3,0.57,5.2,0.2,56,0,180,0,494.76,24431.0287780823,24925.7887780823,921000,4.000495951872
