"BehaviorSpace results (NetLogo 6.0.4)"
"CapeTownABM.nlogo"
"scenario 1 efficiency"
"04/07/2019 01:43:19:093 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","28","-28","0"
"[run number]","Irrigation-Efficiency","Scenario-1?","water-price-elasticity","share-other-crops-irrigation","water-price","Kc","[step]","reduction-this-month","energy-output-this-month","water-price-this-month","ag-allocation-this-month","mu-allocation-this-month","total-allocation-this-month","V-display","population"
"16","0.61","true","-0.51","0.57","5.2","0.2","25","0","180","0","34664.477243495894","33565.0392","68229.5164434959","792091.4468407531","3.9372480000000003"
"16","0.61","true","-0.51","0.57","5.2","0.2","26","0","180","0","28199.71461304242","31749.967872","59949.68248504242","640758.4139537613","3.9372480000000003"
"16","0.61","true","-0.51","0.57","5.2","0.2","27","0","180","0","23811.74400656356","33687.093888","57498.83789456356","507636.04898367653","3.9372480000000003"
"20","0.61","true","-0.51","0.57","5.2","0.2","1","0","180","0","29138.036239719993","33034.375","62172.41123971999","829442","3.875"
"16","0.61","true","-0.51","0.57","5.2","0.2","28","0.3","180","0","8772.279367303267","20257.14096","29029.42032730327","398030.3731945494","3.9372480000000003"
"20","0.61","true","-0.51","0.57","5.2","0.2","2","0","180","0","22921.761743831998","31248","54169.761743832","696617.1775205601","3.875"
"16","0.61","true","-0.51","0.57","5.2","0.2","29","0.3","180","0","2268.459120143692","18540.107107199998","20808.56622734369","384871.5325399428","3.9372480000000003"
"20","0.61","true","-0.51","0.57","5.2","0.2","3","0","180","0","18988.264495887997","33154.5","52142.764495888","568317.654032896","3.875"
"16","0.61","true","-0.51","0.57","5.2","0.2","30","0","180","0","564.3","23859.72288","24424.02288","509749.40008525545","3.9372480000000003"
"17","0.61","true","-0.51","0.57","5.2","0.2","1","0","180","0","29138.036239719993","33034.375","62172.41123971999","829442","3.875"
"2","0.6","true","-0.51","0.57","5.2","0.2","1","0","180","0","28918.171711199997","33034.375","61952.5467112","829442","3.875"
"16","0.61","true","-0.51","0.57","5.2","0.2","31","0","180","0","565.4399999999999","23800.66416","24366.10416","709175.3543252556","3.9372480000000003"
"20","0.61","true","-0.51","0.57","5.2","0.2","4","0","180","0","9949.847247943999","28481.25","38431.097247943995","467141.12504112","3.875"
"16","0.61","true","-0.51","0.57","5.2","0.2","32","0","180","0","565.4399999999999","24044.773536","24610.213536","848122.1460052556","3.9372480000000003"
"17","0.61","true","-0.51","0.57","5.2","0.2","2","0","180","0","22921.761743831998","31248","54169.761743832","696617.1775205601","3.875"
"2","0.6","true","-0.51","0.57","5.2","0.2","2","0","180","0","22789.843026719995","31248","54037.843026719995","697056.9065775999","3.875"
"16","0.61","true","-0.51","0.57","5.2","0.2","33","0","180","0","564.3","23859.72288","24424.02288","921000","3.9372480000000003"
"17","0.61","true","-0.51","0.57","5.2","0.2","3","0","180","0","18988.264495887997","33154.5","52142.764495888","568317.654032896","3.875"
"2","0.6","true","-0.51","0.57","5.2","0.2","3","0","180","0","18900.31868448","33154.5","52054.81868448","569021.22052416","3.875"
"16","0.61","true","-0.51","0.57","5.2","0.2","34","0","180","0","5099.1031819030795","26974.086048","32073.18922990308","921000","3.9372480000000003"
"17","0.61","true","-0.51","0.57","5.2","0.2","4","0","180","0","9949.847247943999","28481.25","38431.097247943995","467141.12504112","3.875"
"2","0.6","true","-0.51","0.57","5.2","0.2","4","0","180","0","9905.874342239998","28481.25","38387.12434224","468020.5831552","3.875"
"16","0.61","true","-0.51","0.57","5.2","0.2","35","0","180","0","9556.505037651397","28702.537920000002","38259.0429576514","921000","3.9372480000000003"
"20","0.61","true","-0.51","0.57","5.2","0.2","5","0.2","180","0","2300.7428429460956","20853.7","23154.442842946097","439792.930545232","3.875"
"16","0.61","true","-0.51","0.57","5.2","0.2","36","0","180","0","23598.320935683118","32710.656384","56308.97731968312","897610.2087981468","3.9687459840000003"
"16","0.61","true","-0.51","0.57","5.2","0.2","37","0","180","0","30643.067434836194","33833.559513600005","64476.6269484362","780888.2541587804","3.9687459840000003"
"20","0.61","true","-0.51","0.57","5.2","0.2","6","0","180","0","393.29999999999995","23482.5","23875.8","632106.0448593397","3.875"
"16","0.61","true","-0.51","0.57","5.2","0.2","38","0","180","0","24954.935800768315","33146.966458368006","58101.90225913632","629718.0002619079","3.9687459840000003"
"2","0.6","true","-0.51","0.57","5.2","0.2","5","0.2","180","0","2274.14915699616","20853.7","23127.849156996162","440760.33447072003","3.875"
"20","0.61","true","-0.51","0.57","5.2","0.2","7","0","180","0","406.40999999999997","23424.375","23830.785","910210.4448593396","3.875"
"16","0.61","true","-0.51","0.57","5.2","0.2","39","0","180","0","20313.036174416397","33956.590639104004","54269.6268135204","489426.1957436353","3.9687459840000003"
"17","0.61","true","-0.51","0.57","5.2","0.2","5","0.2","180","0","2300.7428429460956","20853.7","23154.442842946097","439792.930545232","3.875"
"20","0.61","true","-0.51","0.57","5.2","0.2","8","0","180","0","406.40999999999997","23664.625","24071.035","921000","3.875"
"16","0.61","true","-0.51","0.57","5.2","0.2","40","0.3","180","0","7455.529143548751","20419.19808768","27874.727231228753","398757.9421165945","3.9687459840000003"
"17","0.61","true","-0.51","0.57","5.2","0.2","6","0","180","0","393.29999999999995","23482.5","23875.8","632106.0448593397","3.875"
"16","0.61","true","-0.51","0.57","5.2","0.2","41","0.3","180","0","2514.5229113826354","18688.427964057602","21202.950875440238","400257.4876541371","3.9687459840000003"
"20","0.61","true","-0.51","0.57","5.2","0.2","9","0","180","0","393.29999999999995","23482.5","23875.8","921000","3.875"
"17","0.61","true","-0.51","0.57","5.2","0.2","7","0","180","0","406.40999999999997","23424.375","23830.785","910210.4448593396","3.875"
"16","0.61","true","-0.51","0.57","5.2","0.2","42","0","180","0","444.59999999999997","24050.60066304","24495.20066304","453181.58590325655","3.9687459840000003"
"20","0.61","true","-0.51","0.57","5.2","0.2","10","0","180","0","3899.5368077660396","26547.625","30447.16180776604","921000","3.875"
"16","0.61","true","-0.51","0.57","5.2","0.2","43","0","180","0","441.74999999999994","23991.06947328","24432.81947328","644723.1845771765","3.9687459840000003"
"20","0.61","true","-0.51","0.57","5.2","0.2","11","0","180","0","7121.497486602559","28248.75","35370.24748660256","921000","3.875"
"17","0.61","true","-0.51","0.57","5.2","0.2","8","0","180","0","406.40999999999997","23664.625","24071.035","921000","3.875"
"16","0.61","true","-0.51","0.57","5.2","0.2","44","0","180","0","441.74999999999994","24237.131724288003","24678.881724288003","921000","3.9687459840000003"
"20","0.61","true","-0.51","0.57","5.2","0.2","12","0","180","0","20546.807731146","32193.5","52740.307731146","921000","3.906"
"16","0.61","true","-0.51","0.57","5.2","0.2","45","0","180","0","444.59999999999997","24050.60066304","24495.20066304","921000","3.9687459840000003"
"17","0.61","true","-0.51","0.57","5.2","0.2","9","0","180","0","393.29999999999995","23482.5","23875.8","921000","3.875"
"20","0.61","true","-0.51","0.57","5.2","0.2","13","0","180","0","28230.126068625497","33298.65","61528.7760686255","909234.7708083105","3.906"
"3","0.6","true","-0.51","0.57","5.2","0.2","1","0","180","0","28918.171711199997","33034.375","61952.5467112","829442","3.875"
"17","0.61","true","-0.51","0.57","5.2","0.2","10","0","180","0","3899.5368077660396","26547.625","30447.16180776604","921000","3.875"
"16","0.61","true","-0.51","0.57","5.2","0.2","46","0","180","0","3656.3608164818197","27189.878736384002","30846.239552865823","921000","3.9687459840000003"
"20","0.61","true","-0.51","0.57","5.2","0.2","14","0","180","0","22393.056877192677","31497.984","53891.040877192674","760761.2186710595","3.906"
